short_ticker,iso,entity,frequency,currency,transformation,scale,source,description,first_date,last_date,last_insert_timestamp
PUCBY,BY,Belarus,Q,DOMESTIC,Period level,Milions,National Statistical Committee of Belarus,Public consumption,2014-01-01,2023-10-01,2024-03-30 02:50:42.967306
CONBY,BY,Belarus,Q,DOMESTIC,Period level,Milions,National Statistical Committee of Belarus,Total consumption,2014-01-01,2023-10-01,2024-03-30 02:50:42.398718
GCFBY,BY,Belarus,Q,DOMESTIC,Period level,Milions,National Statistical Committee of Belarus,Gross capital formation,2014-01-01,2023-10-01,2024-03-30 02:50:42.490375
GFCFBY,BY,Belarus,Q,DOMESTIC,Period level,Milions,National Statistical Committee of Belarus,Gross fixed capital formation,2014-01-01,2023-10-01,2024-03-30 02:50:42.663465
CIBY,BY,Belarus,Q,DOMESTIC,Period level,Milions,National Statistical Committee of Belarus,Change in inventories,2014-01-01,2023-10-01,2024-03-30 02:50:42.189460
RGDPBY,BY,Belarus,Q,DOMESTIC,Period level,Milions,National Statistical Committee of Belarus,Real gross domestic product,2014-01-01,2023-10-01,2024-03-30 02:50:43.701910
CPIBY,BY,Belarus,M,INDEX,Period level,Units,National Statistical Committee of Belarus,Consumer price index,2000-01-01,2024-02-01,2024-03-13 11:28:24.243741
PPIBY,BY,Belarus,M,INDEX,Period level,Units,,Producer price index,2020-12-01,2024-02-01,2024-03-12 11:28:24.852786
URATEBY,BY,Belarus,M,PERCENT,Period level,Units,National Statistical Committee of Belarus,Unemployment,2005-01-01,2023-10-01,2024-01-29 21:29:00.288018
EMPBY,BY,Belarus,M,PERSONS,Period level,Thousands,National Statistical Committee of Belarus,Total employment,2005-01-01,2023-10-01,2024-01-29 21:28:57.976834
IPBY,BY,Belarus,M,DOMESTIC,Period level,Milions,National Statistical Committee of Belarus,Industrial production,2012-01-01,2024-02-01,2024-03-19 02:50:29.647424
OILPRODBY,BY,Belarus,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Oil production,2002-01-01,2022-02-01,2022-04-19 15:45:56.548819
EXPBY,BY,Belarus,Q,DOMESTIC,Period level,Milions,National Statistical Committee of Belarus,Exports of goods and services,2014-01-01,2023-10-01,2024-03-30 02:50:42.304028
IMPBY,BY,Belarus,Q,DOMESTIC,Period level,Milions,National Statistical Committee of Belarus,Imports of goods and services,2014-01-01,2023-10-01,2024-03-30 02:50:42.762187
CABY,BY,Belarus,Q,USD,Period level,Milions,,Current account balance,2020-07-01,2023-10-01,2024-03-16 11:28:24.247521
POPBY,BY,Belarus,Y,PERSONS,Period level,Units,Eurostat,Population,2000-01-01,2022-01-01,2023-05-25 18:13:22.254154
USDBYN,BY,Belarus,D,DOMESTIC,Period level,Units,,Exchange rate v dollar,2016-06-30,2024-03-31,2024-04-01 09:40:20.316903
M3BY,BY,Belarus,M,DOMESTIC,Period level,Milions,,Money supply,2020-12-01,2024-02-01,2024-03-15 11:28:24.443747
RPRCBY,BY,Belarus,Q,DOMESTIC,Period level,Milions,National Statistical Committee of Belarus,Real private consumption,2014-01-01,2023-10-01,2024-03-30 02:50:44.016944
RPUCBY,BY,Belarus,Q,DOMESTIC,Period level,Milions,National Statistical Committee of Belarus,Real public consumption,2014-01-01,2023-10-01,2024-03-30 02:50:44.098574
RCONBY,BY,Belarus,Q,DOMESTIC,Period level,Milions,National Statistical Committee of Belarus,Real total consumption,2014-01-01,2023-10-01,2024-03-30 02:50:43.467171
RGCFBY,BY,Belarus,Q,DOMESTIC,Period level,Milions,National Statistical Committee of Belarus,Real gross capital formation,2014-01-01,2023-10-01,2024-03-30 02:50:43.566973
RGFCFBY,BY,Belarus,Q,DOMESTIC,Period level,Milions,National Statistical Committee of Belarus,Real gross fixed capital formation,2014-01-01,2023-10-01,2024-03-30 02:50:43.800900
RCIBY,BY,Belarus,Q,DOMESTIC,Period level,Milions,National Statistical Committee of Belarus,Real change in inventories,2014-01-01,2023-10-01,2024-03-30 02:50:43.078050
REXPBY,BY,Belarus,Q,DOMESTIC,Period level,Milions,National Statistical Committee of Belarus,Real exports of goods and services,2014-01-01,2023-10-01,2024-03-30 02:50:43.318106
RIMPBY,BY,Belarus,Q,DOMESTIC,Period level,Milions,National Statistical Committee of Belarus,Real imports of goods and services,2014-01-01,2023-10-01,2024-03-30 02:50:43.911284
OILDEMBY,BY,Belarus,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Oil demand,2002-01-01,2022-02-01,2022-04-19 15:49:46.997564
GASOPRODBY,BY,Belarus,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Gasoline production,2002-01-01,2022-02-01,2022-04-19 15:53:42.664787
GASODEMBY,BY,Belarus,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Gasoline demand,2002-01-01,2022-02-01,2022-04-19 15:57:33.081403
GASPRODBY,BY,Belarus,M,CUBIC METERS,Period level,Milions,Joint Organisations Data Initiative,Gas production,2012-01-01,2022-03-01,2022-05-17 15:15:49.235717
GASDEMBY,BY,Belarus,M,CUBIC METERS,Period level,Milions,Joint Organisations Data Initiative,Gas demand,2012-01-01,2022-03-01,2022-05-17 15:15:49.014181
GDPSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,Gross domestic product,1995-01-01,2023-10-01,2024-02-14 12:54:50.752761
PRCSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,Private consumption,1995-01-01,2023-10-01,2024-03-08 05:53:02.821540
PUCSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,Public consumption,1995-01-01,2023-10-01,2024-03-08 05:53:02.588686
CONSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,Total consumption,1995-01-01,2023-10-01,2024-03-08 05:53:00.922388
GCFSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,Gross capital formation,1995-01-01,2023-10-01,2024-03-08 05:53:01.753490
GFCFSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,Gross fixed capital formation,1995-01-01,2023-10-01,2024-03-08 05:53:01.991082
CISK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,Change in inventories,1995-01-01,2023-10-01,2024-03-08 05:53:02.351029
CBALSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,Commercial balance (goods + services),1995-01-01,2023-10-01,2024-03-08 05:53:01.516380
RGDPSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,Real gross domestic product,1995-01-01,2023-10-01,2024-02-14 12:54:50.421469
GDPPCSK,SK,Slovakia,Y,DOMESTIC,Period level,Units,Eurostat,GDP per capita,1995-01-01,2023-01-01,2024-03-08 05:37:35.134255
CPISK,SK,Slovakia,M,INDEX,Period level,Units,Eurostat,Consumer price index,1996-01-01,2024-03-01,2024-04-03 09:49:45.585407
PPISK,SK,Slovakia,M,INDEX,Period level,Units,Eurostat,Producer price index,2000-01-01,2024-02-01,2024-04-03 12:53:11.476251
GBALSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,Government balance,1999-01-01,2023-04-01,2023-10-23 12:25:16.103838
GSPESK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,General government total expenditure,1999-01-01,2023-04-01,2023-10-23 12:25:16.299299
GREVSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,General government total revenue,1999-01-01,2023-04-01,2023-10-23 12:25:16.589705
GDEBTSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,Government debt,2000-01-01,2023-04-01,2023-10-24 12:35:38.819589
GDEBTNSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,Government net debt,1998-10-01,2023-07-01,2024-01-22 11:19:31.309803
URATESK,SK,Slovakia,M,PERCENT,Period level,Units,Eurostat,Unemployment,1998-01-01,2023-11-01,2024-01-09 12:36:31.699830
JVRSK,SK,Slovakia,Q,PERCENT,Period level,Units,Eurostat,Job vacancy rate,2008-01-01,2023-10-01,2024-03-15 17:35:48.274017
EMPSK,SK,Slovakia,Q,PERSONS,Period level,Thousands,Eurostat,Total employment,2009-01-01,2023-07-01,2023-12-15 05:35:50.601459
EMRATIOSK,SK,Slovakia,Q,PERCENT,Period level,Units,Eurostat,Employment to working age population,2009-01-01,2023-07-01,2023-12-15 05:35:50.715155
RETASK,SK,Slovakia,M,INDEX,Period level,Units,Eurostat,Retail trade,2000-01-01,2024-01-01,2024-04-01 21:45:17.151449
IPSK,SK,Slovakia,M,INDEX,Period level,Units,Eurostat,Industrial production,2000-01-01,2024-01-01,2024-03-28 17:50:05.785197
CPSK,SK,Slovakia,M,INDEX,Period level,Units,Eurostat,Construction production,2000-01-01,2024-01-01,2024-04-01 22:41:59.743012
INVERSK,SK,Slovakia,Y,PERCENT,Period level,Units,Eurostat,Investment rate,2007-01-01,2022-01-01,2023-04-27 10:23:26.279401
SENTSK,SK,Slovakia,M,INDEX,Period level,Units,Eurostat,Sentiment index,1993-08-01,2024-03-01,2024-03-27 13:09:32.052030
CONFSK,SK,Slovakia,M,INDEX,Period level,Units,Eurostat,Consumer confidence index,1999-04-01,2024-03-01,2024-03-27 13:09:32.765543
UTILSK,SK,Slovakia,Q,PERCENT,Period level,Units,Eurostat,Utilization rate,1993-10-01,2024-01-01,2024-01-30 18:02:34.807041
CARSK,SK,Slovakia,M,OTHER NUMBER,Period level,Units,European Automobile Manufacturers,Passenger car sales,2003-01-01,2022-12-01,2023-01-19 02:22:19.876405
ELESK,SK,Slovakia,M,INDEX,Period level,Units,Eurostat,Production electricity,2000-01-01,2022-01-01,2022-03-11 12:41:22.479841
OILPRODSK,SK,Slovakia,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Oil production,2002-01-01,2022-02-01,2022-04-19 15:48:35.195866
EXPSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,Exports of goods and services,1995-01-01,2023-10-01,2024-03-08 05:53:01.159446
IMPSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,Imports of goods and services,1995-01-01,2023-10-01,2024-03-08 05:52:58.580204
CASK,SK,Slovakia,M,DOMESTIC,Period level,Milions,Eurostat,Current account balance,2004-01-01,2024-01-01,2024-03-21 06:15:00.775025
POPSK,SK,Slovakia,Y,PERSONS,Period level,Units,Eurostat,Population,1960-01-01,2022-01-01,2023-02-22 13:09:09.506971
HHDIRSK,SK,Slovakia,Y,PERCENT,Period level,Units,Eurostat,Household debt to income ratio,2007-01-01,2022-01-01,2023-04-27 10:23:07.355875
HOUSK,SK,Slovakia,Q,INDEX,Period level,Units,Eurostat,House price,2006-01-01,2023-10-01,2024-04-04 09:35:08.542444
NFCLOANSK,SK,Slovakia,Y,PERCENT,Period level,Units,Eurostat,Lending to non-financial corporations,1995-01-01,2022-01-01,2023-04-25 00:32:02.164794
PRIDEBTSK,SK,Slovakia,Y,PERCENT,Period level,Units,Eurostat,Private debt,1995-01-01,2022-01-01,2023-04-25 09:39:49.518342
NIIPSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,Net international investment position,2004-01-01,2022-07-01,2023-01-11 13:00:37.016364
Y10YDSK,SK,Slovakia,M,PERCENT,Period level,Units,Eurostat,Long term yield,2001-01-01,2024-02-01,2024-03-13 12:35:26.757231
REERSK,SK,Slovakia,M,INDEX,Period level,Units,Bank for International Settlements,Real effective exchange rate,1994-01-01,2024-02-01,2024-03-21 04:14:01.410776
TBSK,SK,Slovakia,M,DOMESTIC,Period level,Milions,Eurostat,Trade balance,2008-01-01,2024-01-01,2024-03-21 06:15:02.620348
RGDPPCSK,SK,Slovakia,Y,VOLUME,Period level,Units,Eurostat,Real GDP per capita,1995-01-01,2023-01-01,2024-03-08 05:37:35.069392
RPRCSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,Real private consumption,1995-01-01,2023-10-01,2024-03-08 05:53:00.690531
RPUCSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,Real public consumption,1995-01-01,2023-10-01,2024-03-08 05:53:00.455364
RCONSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,Real total consumption,1995-01-01,2023-10-01,2024-03-08 05:52:59.404483
RGCFSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,Real gross capital formation,1995-01-01,2023-10-01,2024-03-08 05:52:59.874481
RGFCFSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,Real gross fixed capital formation,1995-01-01,2023-10-01,2024-03-08 05:53:00.102558
REXPSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,Real exports of goods and services,1995-01-01,2023-10-01,2024-03-08 05:52:59.640508
RIMPSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,Real imports of goods and services,1995-01-01,2023-10-01,2024-03-08 05:52:58.353661
NYSK,SK,Slovakia,M,DOMESTIC,Period level,Milions,Eurostat,Net income from abroad (Primary Income),2008-01-01,2024-01-01,2024-03-21 06:15:03.010271
NCTSK,SK,Slovakia,M,DOMESTIC,Period level,Milions,Eurostat,Net current transfers (Secondary Income),2008-01-01,2024-01-01,2024-03-21 06:15:03.484097
KASK,SK,Slovakia,M,DOMESTIC,Period level,Milions,Eurostat,Capital account,2008-01-01,2024-01-01,2024-03-21 06:15:00.391346
CKASK,SK,Slovakia,M,DOMESTIC,Period level,Milions,Eurostat,Net foreign investment,2008-01-01,2024-01-01,2024-03-21 06:15:01.258360
IIPASK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,International investment position: Assets,2004-01-01,2022-07-01,2023-01-11 13:00:36.721600
IIPLSK,SK,Slovakia,Q,DOMESTIC,Period level,Milions,Eurostat,International investment position: Liabilities,2004-01-01,2022-07-01,2023-01-11 13:00:36.873973
CLISK,SK,Slovakia,M,INDEX,Period level,Units,OECD,OECD CLI,1993-02-01,2022-06-01,2022-07-12 00:41:23.238740
EXPMONSK,SK,Slovakia,M,DOMESTIC,Period level,Milions,Eurostat,Monthly exports,2008-01-01,2024-01-01,2024-03-21 06:15:01.754521
IMPMONSK,SK,Slovakia,M,DOMESTIC,Period level,Milions,Eurostat,Monthly imports,2008-01-01,2024-01-01,2024-03-21 06:15:02.132003
OILDEMSK,SK,Slovakia,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Oil demand,2002-01-01,2024-01-01,2024-03-18 15:43:21.186885
GASOPRODSK,SK,Slovakia,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Gasoline production,2002-01-01,2024-01-01,2024-03-18 15:44:02.236030
GASODEMSK,SK,Slovakia,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Gasoline demand,2002-01-01,2024-01-01,2024-03-18 15:44:49.299458
GASPRODSK,SK,Slovakia,M,CUBIC METERS,Period level,Milions,Joint Organisations Data Initiative,Gas production,2010-01-01,2024-01-01,2024-03-18 15:16:10.092965
GASDEMSK,SK,Slovakia,M,CUBIC METERS,Period level,Milions,Joint Organisations Data Initiative,Gas demand,2010-01-01,2024-01-01,2024-03-18 15:16:09.746832
ACPOPSK,SK,Slovakia,Q,PERSONS,Period level,Thousands,Eurostat,Active population,2009-01-01,2023-07-01,2023-12-15 05:35:50.485162
CORESK,SK,Slovakia,M,INDEX,Period level,Units,Eurostat,Core consumer price index,1996-01-01,2024-03-01,2024-04-03 09:49:46.342776
USDGHS,GH,Ghana,D,DOMESTIC,Period level,Units,,Exchange rate v dollar,2008-04-30,2024-03-31,2024-04-01 09:40:37.213289
GDPBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,Gross domestic product,1995-01-01,2023-10-01,2024-02-20 05:47:23.556673
PRCBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,Private consumption,1995-01-01,2023-10-01,2024-03-12 05:50:56.367040
PUCBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,Public consumption,1995-01-01,2023-10-01,2024-03-12 05:50:47.945924
CONBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,Total consumption,1995-01-01,2023-10-01,2024-03-12 05:52:05.291526
GCFBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,Gross capital formation,1995-01-01,2023-10-01,2024-03-12 05:52:01.885618
GFCFBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,Gross fixed capital formation,1995-01-01,2023-10-01,2024-03-12 05:50:39.646727
CIBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,Change in inventories,1995-01-01,2023-10-01,2024-03-12 05:51:57.190814
CBALBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,Commercial balance (goods + services),1995-01-01,2023-10-01,2024-03-12 05:51:49.521650
RGDPBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,Real gross domestic product,1995-01-01,2023-10-01,2024-02-20 05:47:14.845879
GDPPCBG,BG,Bulgaria,Y,DOMESTIC,Period level,Units,Eurostat,GDP per capita,1995-01-01,2023-01-01,2024-03-20 12:37:30.903962
CPIBG,BG,Bulgaria,M,INDEX,Period level,Units,Eurostat,Consumer price index,1996-12-01,2024-02-01,2024-03-18 12:49:09.656034
PPIBG,BG,Bulgaria,M,INDEX,Period level,Units,Eurostat,Producer price index,2000-01-01,2024-02-01,2024-04-01 21:04:51.914850
GBALBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,Government balance,1999-01-01,2023-04-01,2023-10-23 12:25:02.106081
GSPEBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,General government total expenditure,1999-01-01,2023-04-01,2023-10-23 12:25:02.305651
GREVBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,General government total revenue,1999-01-01,2023-04-01,2023-10-23 12:25:02.606143
GDEBTBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,Government debt,2000-01-01,2023-04-01,2023-10-24 12:35:33.062045
GDEBTNBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,Government net debt,1998-10-01,2023-07-01,2024-01-22 11:19:25.772422
URATEBG,BG,Bulgaria,M,PERCENT,Period level,Units,Eurostat,Unemployment,2000-01-01,2023-11-01,2024-01-09 12:36:12.960253
JVRBG,BG,Bulgaria,Q,PERCENT,Period level,Units,Eurostat,Job vacancy rate,2009-01-01,2023-10-01,2024-03-15 17:35:47.413107
EMPBG,BG,Bulgaria,Q,PERSONS,Period level,Thousands,Eurostat,Total employment,2009-01-01,2023-07-01,2023-12-15 05:35:40.521224
EMRATIOBG,BG,Bulgaria,Q,PERCENT,Period level,Units,Eurostat,Employment to working age population,2009-01-01,2023-07-01,2023-12-15 05:35:40.742006
RETABG,BG,Bulgaria,M,INDEX,Period level,Units,Eurostat,Retail trade,2000-01-01,2024-02-01,2024-04-01 21:42:42.461796
IPBG,BG,Bulgaria,M,INDEX,Period level,Units,Eurostat,Industrial production,2000-01-01,2024-01-01,2024-03-28 17:47:35.192997
CPBG,BG,Bulgaria,M,INDEX,Period level,Units,Eurostat,Construction production,2000-01-01,2024-01-01,2024-04-01 22:40:22.503526
SENTBG,BG,Bulgaria,M,INDEX,Period level,Units,Eurostat,Sentiment index,1993-01-01,2024-03-01,2024-03-27 13:08:49.402624
CONFBG,BG,Bulgaria,M,INDEX,Period level,Units,Eurostat,Consumer confidence index,2001-05-01,2024-03-01,2024-03-27 13:08:49.973373
UTILBG,BG,Bulgaria,Q,PERCENT,Period level,Units,Eurostat,Utilization rate,1992-01-01,2024-01-01,2024-01-30 18:02:27.421151
CARBG,BG,Bulgaria,M,OTHER NUMBER,Period level,Units,European Automobile Manufacturers,Passenger car sales,2006-01-01,2022-12-01,2023-01-19 02:22:05.749693
ELEBG,BG,Bulgaria,M,INDEX,Period level,Units,Eurostat,Production electricity,2000-01-01,2024-01-01,2024-04-01 23:32:36.705036
OILPRODBG,BG,Bulgaria,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Oil production,2002-01-01,2022-01-01,2022-04-19 15:46:10.860405
EXPBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,Exports of goods and services,1995-01-01,2023-10-01,2024-03-12 05:52:09.146552
IMPBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,Imports of goods and services,1995-01-01,2023-10-01,2024-03-12 05:50:31.394957
CABG,BG,Bulgaria,M,DOMESTIC,Period level,Milions,Eurostat,Current account balance,1998-01-01,2024-01-01,2024-03-21 06:13:43.703808
POPBG,BG,Bulgaria,Y,PERSONS,Period level,Units,Eurostat,Population,1960-01-01,2022-01-01,2023-02-09 22:56:57.042399
HOUBG,BG,Bulgaria,Q,INDEX,Period level,Units,Eurostat,House price,2005-01-01,2023-10-01,2024-04-04 09:35:04.552285
NFCLOANBG,BG,Bulgaria,Y,PERCENT,Period level,Units,Eurostat,Lending to non-financial corporations,1995-01-01,2022-01-01,2023-10-20 12:46:31.736944
PRIDEBTBG,BG,Bulgaria,Y,PERCENT,Period level,Units,Eurostat,Private debt,1995-01-01,2022-01-01,2023-10-20 12:46:16.296236
NIIPBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,Net international investment position,1999-10-01,2022-07-01,2023-01-11 13:00:21.599701
Y10YDBG,BG,Bulgaria,M,PERCENT,Period level,Units,Eurostat,Long term yield,2003-01-01,2024-02-01,2024-03-13 12:35:09.495761
USDBGN,BG,Bulgaria,D,DOMESTIC,Period level,Units,,Exchange rate v dollar,2000-07-31,2024-03-31,2024-04-01 09:40:13.788792
REERBG,BG,Bulgaria,M,INDEX,Period level,Units,Bank for International Settlements,Real effective exchange rate,1994-01-01,2024-02-01,2024-03-21 04:13:28.072336
TBBG,BG,Bulgaria,M,DOMESTIC,Period level,Milions,Eurostat,Trade balance,2007-01-01,2024-01-01,2024-03-21 06:13:45.562666
RGDPPCBG,BG,Bulgaria,Y,VOLUME,Period level,Units,Eurostat,Real GDP per capita,1995-01-01,2023-01-01,2024-03-20 12:37:30.842489
RPRCBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,Real private consumption,1995-01-01,2023-10-01,2024-03-12 05:50:20.713029
RPUCBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,Real public consumption,1995-01-01,2023-10-01,2024-03-12 05:50:12.322994
RCONBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,Real total consumption,1995-01-01,2023-10-01,2024-03-12 05:51:44.373520
RGCFBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,Real gross capital formation,1995-01-01,2023-10-01,2024-03-12 05:51:46.700829
RGFCFBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,Real gross fixed capital formation,1995-01-01,2023-10-01,2024-03-12 05:50:03.735835
IBD1BG,BG,Bulgaria,M,PERCENT,Period level,Units,Eurostat,Interbank lending overnight rate,1995-01-01,2024-02-01,2024-04-04 10:42:41.072346
REXPBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,Real exports of goods and services,1995-01-01,2023-10-01,2024-03-12 05:49:46.600666
RIMPBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,Real imports of goods and services,1995-01-01,2023-10-01,2024-03-12 05:49:55.233865
NYBG,BG,Bulgaria,M,DOMESTIC,Period level,Milions,Eurostat,Net income from abroad (Primary Income),2007-01-01,2024-01-01,2024-03-21 06:13:46.079624
NCTBG,BG,Bulgaria,M,DOMESTIC,Period level,Milions,Eurostat,Net current transfers (Secondary Income),2007-01-01,2024-01-01,2024-03-21 06:13:46.480778
KABG,BG,Bulgaria,M,DOMESTIC,Period level,Milions,Eurostat,Capital account,2007-01-01,2024-01-01,2024-03-21 06:13:43.206420
CKABG,BG,Bulgaria,M,DOMESTIC,Period level,Milions,Eurostat,Net foreign investment,2007-01-01,2024-01-01,2024-03-21 06:13:44.193191
IIPABG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,International investment position: Assets,2000-10-01,2022-07-01,2023-01-11 13:00:21.019084
IIPLBG,BG,Bulgaria,Q,DOMESTIC,Period level,Milions,Eurostat,International investment position: Liabilities,2000-10-01,2022-07-01,2023-01-11 13:00:21.434889
EXPMONBG,BG,Bulgaria,M,DOMESTIC,Period level,Milions,Eurostat,Monthly exports,2007-01-01,2024-01-01,2024-03-21 06:13:44.583218
IMPMONBG,BG,Bulgaria,M,DOMESTIC,Period level,Milions,Eurostat,Monthly imports,2007-01-01,2024-01-01,2024-03-21 06:13:45.062691
OILDEMBG,BG,Bulgaria,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Oil demand,2002-01-01,2023-12-01,2024-03-18 15:42:54.949760
GASOPRODBG,BG,Bulgaria,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Gasoline production,2002-01-01,2023-12-01,2024-03-18 15:43:35.684962
GASODEMBG,BG,Bulgaria,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Gasoline demand,2002-01-01,2023-12-01,2024-03-18 15:44:16.516640
GASPRODBG,BG,Bulgaria,M,CUBIC METERS,Period level,Milions,Joint Organisations Data Initiative,Gas production,2014-01-01,2024-01-01,2024-03-18 15:15:41.431130
GASDEMBG,BG,Bulgaria,M,CUBIC METERS,Period level,Milions,Joint Organisations Data Initiative,Gas demand,2014-01-01,2024-01-01,2024-03-18 15:15:41.204271
ACPOPBG,BG,Bulgaria,Q,PERSONS,Period level,Thousands,Eurostat,Active population,2009-01-01,2023-07-01,2023-12-15 05:35:40.397279
COREBG,BG,Bulgaria,M,INDEX,Period level,Units,Eurostat,Core consumer price index,1996-12-01,2024-02-01,2024-03-18 12:49:10.385197
USDTZS,TZ,Tanzania,D,DOMESTIC,Period level,Units,,Exchange rate v dollar,2000-05-31,2024-03-31,2024-04-01 09:41:35.092277
GDPAZ,AZ,Azerbaijan,Q,DOMESTIC,Year level,Milions,"State Statistics Committee, Azerbaijan",Gross domestic product,2012-01-01,2023-10-01,2024-03-29 18:55:08.058271
PRCAZ,AZ,Azerbaijan,Q,DOMESTIC,Period level,Milions,"State Statistics Committee, Azerbaijan",Private consumption,2012-01-01,2023-10-01,2024-03-29 18:55:08.771013
PUCAZ,AZ,Azerbaijan,Q,DOMESTIC,Period level,Milions,"State Statistics Committee, Azerbaijan",Public consumption,2012-01-01,2023-10-01,2024-03-29 18:55:07.845586
GFCFAZ,AZ,Azerbaijan,Q,DOMESTIC,Period level,Milions,"State Statistics Committee, Azerbaijan",Gross fixed capital formation,2012-01-01,2023-10-01,2024-03-29 18:55:08.554338
CIAZ,AZ,Azerbaijan,Q,DOMESTIC,Period level,Milions,"State Statistics Committee, Azerbaijan",Change in inventories,2012-01-01,2023-10-01,2024-03-29 18:55:07.629252
CBALAZ,AZ,Azerbaijan,M,USD,Period level,Milions,"State Statistics Committee, Azerbaijan",Commercial balance (goods + services),2013-01-01,2024-02-01,2024-04-08 18:55:22.631961
RGDPAZ,AZ,Azerbaijan,Q,DOMESTIC,Period level,Milions,"State Statistics Committee, Azerbaijan",Real gross domestic product,2012-01-01,2023-10-01,2024-03-29 18:55:07.954667
CPIAZ,AZ,Azerbaijan,M,INDEX,Period level,Units,"State Statistics Committee, Azerbaijan",Consumer price index,2007-01-01,2023-07-01,2023-09-01 00:16:31.741408
PPIAZ,AZ,Azerbaijan,M,INDEX,% change on period ago,Units,"State Statistics Committee, Azerbaijan",Producer price index,2013-01-01,2023-01-01,2023-02-13 18:55:43.945983
